"T","R","D","F","K","CP","PB","PA","VB","VA","Vega"
0.147945205479452,0.00357791724362509,0.0201291582324239,1287.43362831858,953.754289776782,-1,0.00349034766945744,0.0100052846650559,0.21622395704277,0.232165405866685,0.399748502117678
0.147945205479452,0.00357791724362509,0.0201291582324239,1287.43362831858,1002.65431788697,-1,0.0241192547820142,0.0566525774963877,0.209439938084698,0.225510911079863,2.00071325068843
0.147945205479452,0.00357791724362509,0.0201291582324239,1287.43362831858,1054.06150405119,-1,0.140629741443544,0.275071521013778,0.201532232816386,0.217768748146078,8.24012680013779
0.147945205479452,0.00357791724362509,0.0201291582324239,1287.43362831858,1108.10439301166,-1,0.68809678800546,1.14133321526884,0.192004622840129,0.208485304661818,27.4769280714937
0.147945205479452,0.00357791724362509,0.0201291582324239,1287.43362831858,1164.91812014045,-1,2.81120669282404,4.01870624567293,0.179945837606389,0.196645480541602,72.3572815342282
0.147945205479452,0.00357791724362509,0.0201291582324239,1287.43362831858,1224.64474934835,-1,9.61876849534599,12.0235234105633,0.163867344740417,0.180490647465734,144.738801367455
0.147945205479452,0.00357791724362509,0.0201291582324239,1287.43362831858,1287.43362831858,1,28.5195859565472,31.5697957591847,0.144457999073703,0.159912649824741,197.364692780134
0.147945205479452,0.00357791724362509,0.0201291582324239,1287.43362831858,1353.44176195384,1,5.35142597611338,6.99675684641318,0.128818736556278,0.141728789055173,127.538675370571
0.147945205479452,0.00357791724362509,0.0201291582324239,1287.43362831858,1422.83420497031,1,0.354497436198788,0.619058719981759,0.120946177688606,0.131554425461154,24.899628289334
0.147945205479452,0.00357791724362509,0.0201291582324239,1287.43362831858,1495.78447462045,1,0.00821918180642434,0.0216231258210327,0.118396918525866,0.127772622705558,1.40621729827844
0.147945205479452,0.00357791724362509,0.0201291582324239,1287.43362831858,1572.47498457647,1,8.24030641154421e-05,0.000360413276842053,0.118860385444007,0.127689381663677,0.0298821260684541
0.147945205479452,0.00357791724362509,0.0201291582324239,1287.43362831858,1653.09750105958,1,4.69684304763684e-07,3.37730549776092e-06,0.121084015683811,0.129360723383344,0.000315813951033662
0.147945205479452,0.00357791724362509,0.0201291582324239,1287.43362831858,1737.85362235537,1,1.75403523262547e-09,1.81515705267664e-08,0.124100953353061,0.131531084107337,1.88202089564299e-06
0.224657534246575,0.00394906524683307,0.0180865757965257,1286.49746193784,953.060760664338,-1,0.077306371852512,0.151105285191266,0.222788304404061,0.238059267427876,4.80283469416361
0.224657534246575,0.00394906524683307,0.0180865757965257,1286.49746193784,1001.92523077657,-1,0.283041301120365,0.494109265546049,0.216467214959223,0.232078326724449,13.4817500390035
0.224657534246575,0.00394906524683307,0.0180865757965257,1286.49746193784,1053.29503584528,-1,0.925394261752,1.44437465349007,0.208880460114763,0.224592037216596,33.0091448535761
0.224657534246575,0.00394906524683307,0.0180865757965257,1286.49746193784,1107.29862714049,-1,2.69557821051409,3.80601590989517,0.199362815270113,0.215185109656644,70.2090727486731
0.224657534246575,0.00394906524683307,0.0180865757965257,1286.49746193784,1164.07104176965,-1,6.99196531153751,9.04532544831781,0.186721287463446,0.202721816153869,128.409228069085
0.224657534246575,0.00394906524683307,0.0180865757965257,1286.49746193784,1223.75424034076,-1,16.3868742836781,19.560328424853,0.169578216923208,0.18556823056438,198.526650550656
0.224657534246575,0.00394906524683307,0.0180865757965257,1286.49746193784,1286.49746193784,1,36.2247972643704,39.8601954851246,0.149073444519442,0.164041178734055,242.88196518349
0.224657534246575,0.00394906524683307,0.0180865757965257,1286.49746193784,1352.45759729637,1,10.1073302485038,12.4872443046401,0.13301378954689,0.145744197596259,187.036588486287
0.224657534246575,0.00394906524683307,0.0180865757965257,1286.49746193784,1421.79958111184,1,1.53982741997221,2.29548085986818,0.125521266293551,0.136360500739732,69.735624366582
0.224657534246575,0.00394906524683307,0.0180865757965257,1286.49746193784,1494.69680446241,1,0.135613402928453,0.259790711088467,0.123700971928681,0.13346103048758,12.6663449021129
0.224657534246575,0.00394906524683307,0.0180865757965257,1286.49746193784,1571.33154837694,1,0.00773341328432264,0.0193279347003377,0.124696430128273,0.13355641574136,1.28860979959801
0.224657534246575,0.00394906524683307,0.0180865757965257,1286.49746193784,1651.89543963246,1,0.000303627972113054,0.000950021505745843,0.126802890479738,0.134626718039629,0.0801986756873897
0.224657534246575,0.00394906524683307,0.0180865757965257,1286.49746193784,1736.58992992097,1,8.04889565206334e-06,3.17075668459792e-05,0.129045577513396,0.136136781656737,0.00318003325690922
0.320547945205479,0.00443290249408984,0.0196292058115456,1284.31863727455,951.4466476541,-1,0.489589772927737,0.74963262568793,0.228253713778764,0.241544456465129,19.537166405637
0.320547945205479,0.00443290249408984,0.0196292058115456,1284.31863727455,1000.22836042262,-1,1.32238662232013,1.9191730745211,0.224235331016287,0.238666739672366,41.3367796946305
0.320547945205479,0.00443290249408984,0.0196292058115456,1284.31863727455,1051.51116508788,-1,3.15755532843121,4.30095328602229,0.217858492371196,0.232799997108253,76.5442885722538
0.320547945205479,0.00443290249408984,0.0196292058115456,1284.31863727455,1105.42329537356,-1,6.86329324274899,8.76756070230374,0.209065423902607,0.224075314152046,126.926441583684
0.320547945205479,0.00443290249408984,0.0196292058115456,1284.31863727455,1162.09955968697,-1,13.714839788342,16.5437192279055,0.196872979931713,0.211819313887755,189.339793489469
0.320547945205479,0.00443290249408984,0.0196292058115456,1284.31863727455,1221.68167821021,-1,25.3735910944106,29.0904478277585,0.179224335988123,0.193962352502037,252.23611630835
0.320547945205479,0.00443290249408984,0.0196292058115456,1284.31863727455,1284.31863727455,1,45.5870769470819,49.5833916428271,0.157424251982144,0.171234996647489,289.362548313953
0.320547945205479,0.00443290249408984,0.0196292058115456,1284.31863727455,1350.16706190378,1,16.8638615516724,19.8821514141249,0.140635270163853,0.152829177554135,247.591420221618
0.320547945205479,0.00443290249408984,0.0196292058115456,1284.31863727455,1419.39160745838,1,4.37273539556865,5.83243804143305,0.133168430245459,0.143982549608121,135.059572748727
0.320547945205479,0.00443290249408984,0.0196292058115456,1284.31863727455,1492.1653713597,1,0.82595836317827,1.2728138249334,0.131167982596068,0.140727333714541,46.7147890899595
0.320547945205479,0.00443290249408984,0.0196292058115456,1284.31863727455,1568.67032592364,1,0.11593653986646,0.206084017712243,0.131390793306577,0.139755104364551,10.7339103739789
0.320547945205479,0.00443290249408984,0.0196292058115456,1284.31863727455,1649.09777338629,1,0.0118426634988976,0.0254653227295845,0.132187672225418,0.140096555692905,1.70435318762034
0.320547945205479,0.00443290249408984,0.0196292058115456,1284.31863727455,1733.64882425906,1,0.000816835399991049,0.0025597320259077,0.132653685840968,0.141499261539985,0.191427264836314
0.397260273972603,0.00487255162953272,0.0211182558647754,1282.28764478764,949.942051413734,-1,1.20358321235331,1.66004747393764,0.232484844514931,0.244580044574284,37.7223067368535
0.397260273972603,0.00487255162953272,0.0211182558647754,1282.28764478764,998.646621883405,-1,2.69007473788993,3.55188479589273,0.228036882386809,0.240774044755613,67.664254100234
0.397260273972603,0.00487255162953272,0.0211182558647754,1282.28764478764,1049.84832907958,-1,5.71720997175649,7.25614293241784,0.223511622271989,0.237200925595054,112.455033418948
0.397260273972603,0.00487255162953272,0.0211182558647754,1282.28764478764,1103.67520394003,-1,11.0869445591829,13.4709458281873,0.216313750938037,0.230439182332911,168.834555059905
0.397260273972603,0.00487255162953272,0.0211182558647754,1282.28764478764,1160.26184168906,-1,19.7662603713817,22.996496510452,0.20499182877228,0.218989724756949,230.822036402755
0.397260273972603,0.00487255162953272,0.0211182558647754,1282.28764478764,1219.74973839573,-1,32.8889173717889,36.7670847870564,0.187791262573493,0.201245700857725,288.272530263211
0.397260273972603,0.00487255162953272,0.0211182558647754,1282.28764478764,1282.28764478764,1,53.2059815338334,57.1980983154177,0.165410558643239,0.177834116535084,321.334407881786
0.397260273972603,0.00487255162953272,0.0211182558647754,1282.28764478764,1348.03193820534,1,22.7509147435978,26.0410263908361,0.147595266927403,0.159010537918575,288.268476584852
0.397260273972603,0.00487255162953272,0.0211182558647754,1282.28764478764,1417.14701362702,1,7.48431644785069,9.40021525451195,0.139235240241714,0.149605593356538,184.835136688364
0.397260273972603,0.00487255162953272,0.0211182558647754,1282.28764478764,1489.80569474169,1,1.93139020296989,2.69648035501959,0.136262347005329,0.1454632713234,83.159472635515
0.397260273972603,0.00487255162953272,0.0211182558647754,1282.28764478764,1566.18966609834,1,0.383157011730734,0.618264149725732,0.135167632671301,0.143929693075324,26.7817928303374
0.397260273972603,0.00487255162953272,0.0211182558647754,1282.28764478764,1646.489927412,1,0.0561243888337359,0.117417365471209,0.134502380358865,0.144114602932605,6.32543640975769
0.397260273972603,0.00487255162953272,0.0211182558647754,1282.28764478764,1730.90727116249,1,0.00615140148096777,0.0185439935094519,0.134292853060129,0.145060648079235,1.12391084987254
0.646575342465753,0.00614003288885511,0.0215975453774608,1277.75551102204,946.58456414161,-1,5.42855141398812,7.62746665065582,0.239829875671806,0.259083334760829,114.259663169783
0.646575342465753,0.00614003288885511,0.0215975453774608,1277.75551102204,995.116992557771,-1,9.70595304134473,12.4967913885735,0.238533033612207,0.255717189379623,162.484267087362
0.646575342465753,0.00614003288885511,0.0215975453774608,1277.75551102204,1046.13773178862,-1,16.2784362933569,19.5517073363482,0.23558770943577,0.250618943806593,217.837226871108
0.646575342465753,0.00614003288885511,0.0215975453774608,1277.75551102204,1099.77436025775,-1,25.5819328379453,29.1928887505945,0.229651937261054,0.24273593489488,276.0340254713
0.646575342465753,0.00614003288885511,0.0215975453774608,1277.75551102204,1156.1609974744,-1,37.8865442162238,41.6744226177394,0.21927160947106,0.230682883836842,331.970366226924
0.646575342465753,0.00614003288885511,0.0215975453774608,1277.75551102204,1215.43863940211,-1,53.7826502613088,57.6177161511783,0.203791861958875,0.21389558521531,379.581366681957
0.646575342465753,0.00614003288885511,0.0215975453774608,1277.75551102204,1277.75551102204,1,75.6006166184817,79.4429266013952,0.185345844569295,0.194784664041196,407.075769379259
0.646575342465753,0.00614003288885511,0.0215975453774608,1277.75551102204,1343.26743697265,1,42.2424850897207,46.0984409654341,0.167545706550654,0.177399982415914,391.319506111571
0.646575342465753,0.00614003288885511,0.0215975453774608,1277.75551102204,1412.13823119245,1,19.5462844903211,22.9907593749464,0.153729402363067,0.164644031618691,315.672157248522
0.646575342465753,0.00614003288885511,0.0215975453774608,1277.75551102204,1484.54010654019,1,7.54745042111739,10.0259470675965,0.14532676653756,0.157393136403393,205.530818677578
0.646575342465753,0.00614003288885511,0.0215975453774608,1277.75551102204,1560.65410541668,1,2.47472629980749,3.91911141290609,0.140859141949268,0.154150313464454,108.688928275419
0.646575342465753,0.00614003288885511,0.0215975453774608,1277.75551102204,1640.67055246514,1,0.689849390737802,1.3854456942751,0.138510026252549,0.153096731355424,47.5459651607215
0.646575342465753,0.00614003288885511,0.0215975453774608,1277.75551102204,1724.78953048188,1,0.162886559239863,0.445330516610799,0.137268930297724,0.153231714082261,17.4858100444358
0.895890410958904,0.00705984693107979,0.0231183110416752,1272.15568862275,942.436113675634,-1,10.7889372640294,15.1349414583248,0.240403061567571,0.263897435349464,185.136752506576
0.895890410958904,0.00705984693107979,0.0231183110416752,1272.15568862275,990.755846488144,-1,17.091834416046,22.6357186541322,0.239094239496053,0.262203461612628,240.082455962329
0.895890410958904,0.00705984693107979,0.0231183110416752,1272.15568862275,1041.55298497855,-1,25.9130132625731,32.5813563460813,0.236455836428974,0.258839550551468,298.08056235641
0.895890410958904,0.00705984693107979,0.0231183110416752,1272.15568862275,1094.95454845212,-1,37.3544593255211,44.8112039174333,0.230909230144071,0.251939480937216,354.697185534162
0.895890410958904,0.00705984693107979,0.0231183110416752,1272.15568862275,1151.09406863317,-1,51.1907126772334,58.9114360004203,0.220640068483603,0.239648842452556,406.236435347229
0.895890410958904,0.00705984693107979,0.0231183110416752,1272.15568862275,1210.11192356393,-1,68.3076969835954,76.0012449705011,0.206511967300353,0.223632851950434,449.390548478355
0.895890410958904,0.00705984693107979,0.0231183110416752,1272.15568862275,1272.15568862275,1,90.7213147541879,98.3624097150102,0.190311254888704,0.206389540117816,475.244921697775
0.895890410958904,0.00705984693107979,0.0231183110416752,1272.15568862275,1337.38050553944,1,56.4887297930588,64.2422772015763,0.173834674554977,0.19042036923661,467.527497177578
0.895890410958904,0.00705984693107979,0.0231183110416752,1272.15568862275,1405.94947033037,1,30.3139637433294,37.8113946444026,0.159065839338784,0.177331587399727,410.671658085877
0.895890410958904,0.00705984693107979,0.0231183110416752,1272.15568862275,1478.0340411235,1,14.1075532234776,20.2129129184775,0.148886296988423,0.168503632785433,311.622960709199
0.895890410958904,0.00705984693107979,0.0231183110416752,1272.15568862275,1553.81446689298,1,5.8792189792613,10.0498250899308,0.143328445430833,0.163789482960531,204.15275047521
0.895890410958904,0.00705984693107979,0.0231183110416752,1272.15568862275,1633.48023817551,1,2.20365634321143,4.66452758937895,0.140381890893238,0.161470796359917,116.672224653387
0.895890410958904,0.00705984693107979,0.0231183110416752,1272.15568862275,1717.23056089534,1,0.737273120553208,2.00522822150614,0.138731862434079,0.160288601369731,58.4789620643544
1.39452054794521,0.00789703323890889,0.0229137470730201,1263.84462151394,936.279123728119,-1,25.6968634587269,31.305618379575,0.250722421727216,0.268792589126178,310.514342601547
1.39452054794521,0.00789703323890889,0.0229137470730201,1263.84462151394,984.283180915643,-1,35.2226554036672,41.7321242557043,0.248430975584417,0.266210914029513,366.229834013897
1.39452054794521,0.00789703323890889,0.0229137470730201,1263.84462151394,1034.74845874567,-1,46.7791762851264,54.0187179983883,0.244054631900461,0.261257853507271,420.91902245762
1.39452054794521,0.00789703323890889,0.0229137470730201,1263.84462151394,1087.80114669896,-1,59.9461293083743,67.5748309948396,0.236111883858192,0.252267387302057,472.270248659113
1.39452054794521,0.00789703323890889,0.0229137470730201,1263.84462151394,1143.57390412931,-1,74.9473441482509,82.617228070364,0.224713484067382,0.239487039372959,519.200643837189
1.39452054794521,0.00789703323890889,0.0229137470730201,1263.84462151394,1202.20619198103,-1,93.4262690251511,101.032766175132,0.212042421667441,0.225649706003932,559.013443357496
1.39452054794521,0.00789703323890889,0.0229137470730201,1263.84462151394,1263.84462151394,1,116.954891801222,124.503825942745,0.199059746465432,0.211973471769204,584.569281662269
1.39452054794521,0.00789703323890889,0.0229137470730201,1263.84462151394,1328.64332090791,1,82.7900515706032,90.4271847048838,0.185724301099398,0.198767518254399,585.544474721657
1.39452054794521,0.00789703323890889,0.0229137470730201,1263.84462151394,1396.76432066354,1,53.4750501783051,61.3400399082822,0.172341442518535,0.186623770445982,550.772120081393
1.39452054794521,0.00789703323890889,0.0229137470730201,1263.84462151394,1468.37795876287,1,30.8283469893281,38.6232508982708,0.159949455530605,0.176373602106474,474.863108539537
1.39452054794521,0.00789703323890889,0.0229137470730201,1263.84462151394,1543.66330660303,1,15.8402429408159,22.4813233264043,0.150096131041237,0.168174183565215,367.781603109193
1.39452054794521,0.00789703323890889,0.0229137470730201,1263.84462151394,1622.808616768,1,7.47023940534024,12.2390501577375,0.14371831663124,0.162417188962599,255.370082096117
1.39452054794521,0.00789703323890889,0.0229137470730201,1263.84462151394,1706.01179375816,1,3.34154230595432,6.39254214773047,0.140352006557147,0.159219500853166,161.747517318043
1.91232876712329,0.00830402544415689,0.0213016269344826,1258.90688259109,932.621156765102,-1,43.5707099040685,49.1013909838448,0.26152002663665,0.274787623618322,416.922787765636
1.91232876712329,0.00830402544415689,0.0213016269344826,1258.90688259109,980.437665975924,-1,55.0344613945209,61.1835007964202,0.257693962357108,0.27079323982898,469.475755852415
1.91232876712329,0.00830402544415689,0.0213016269344826,1258.90688259109,1030.70578003886,-1,67.5885001799075,74.0545470368744,0.25083632395408,0.263279006997517,519.711089937402
1.91232876712329,0.00830402544415689,0.0213016269344826,1258.90688259109,1083.55119542256,-1,80.5439347696004,87.4942307584494,0.239683389655697,0.251940001932943,567.100617724736
1.91232876712329,0.00830402544415689,0.0213016269344826,1258.90688259109,1139.10605319142,-1,95.4973847639926,103.01712640344,0.226888964915891,0.239182985466822,611.682851365042
1.91232876712329,0.00830402544415689,0.0213016269344826,1258.90688259109,1197.50926942711,-1,114.879374661926,122.535278329327,0.215362255673122,0.22713694843468,650.204468613408
1.91232876712329,0.00830402544415689,0.0213016269344826,1258.90688259109,1258.90688259109,1,139.784785654043,147.43180025964,0.205175811547367,0.216482099326325,676.353780515993
1.91232876712329,0.00830402544415689,0.0213016269344826,1258.90688259109,1323.45241869686,1,106.181832150777,113.623299969541,0.194008086997639,0.204904516528555,682.935974101277
1.91232876712329,0.00830402544415689,0.0213016269344826,1258.90688259109,1391.30727520495,1,75.5760865893269,82.5808383149867,0.182019271034252,0.192609918469548,661.450856056764
1.91232876712329,0.00830402544415689,0.0213016269344826,1258.90688259109,1462.64112460065,1,49.0090645661908,56.5763701249713,0.169060507467295,0.181591351953249,604.023416628476
1.91232876712329,0.00830402544415689,0.0213016269344826,1258.90688259109,1537.63233866358,1,28.8106303193486,36.3992316128231,0.157402404331312,0.172268200543631,510.775202521341
1.91232876712329,0.00830402544415689,0.0213016269344826,1258.90688259109,1616.46843449009,1,16.0512206157233,22.305721410455,0.14985127225662,0.165536780812597,399.118534667367
1.91232876712329,0.00830402544415689,0.0213016269344826,1258.90688259109,1699.34654338364,1,8.79064383715972,13.3822269619722,0.146102926061076,0.161808324772646,292.622173785742
2.90958904109589,0.0127508377255625,0.0222994210137081,1255.22774327122,929.895583320514,-1,70.2766583962812,77.9507659018801,0.264664101577038,0.278389926682735,559.168083044907
2.90958904109589,0.0127508377255625,0.0222994210137081,1255.22774327122,977.57234939258,-1,82.1531854345562,89.9056724522821,0.257649106603599,0.270420831725124,607.05716514115
2.90958904109589,0.0127508377255625,0.0222994210137081,1255.22774327122,1027.69355553282,-1,94.9762025381305,102.700113621876,0.248797446694217,0.260603944977618,654.248286156145
2.90958904109589,0.0127508377255625,0.0222994210137081,1255.22774327122,1080.38453086357,-1,109.894400326873,117.591804780693,0.239583671658718,0.250572251369895,700.518528466118
2.90958904109589,0.0127508377255625,0.0222994210137081,1255.22774327122,1135.77703026864,-1,127.554994608979,135.221873548523,0.230333472901543,0.2406402249896,743.882143585099
2.90958904109589,0.0127508377255625,0.0222994210137081,1255.22774327122,1194.00956384921,-1,148.432297555475,156.104683561076,0.220972293386502,0.230791365251784,781.381163103517
2.90958904109589,0.0127508377255625,0.0222994210137081,1255.22774327122,1255.22774327122,1,173.040295816347,180.796839717156,0.211377337616117,0.220962845418955,809.198732412226
2.90958904109589,0.0127508377255625,0.0222994210137081,1255.22774327122,1319.58464587034,1,140.106474952094,147.915777990191,0.201593246291542,0.211086793308135,822.595528005255
2.90958904109589,0.0127508377255625,0.0222994210137081,1255.22774327122,1387.24119742508,1,109.512603382274,117.250362678644,0.191917175540166,0.201398830818357,816.102706761606
2.90958904109589,0.0127508377255625,0.0222994210137081,1255.22774327122,1458.36657455505,1,82.1086203139938,89.7959982054288,0.182551302412793,0.192349404622675,784.636893455101
2.90958904109589,0.0127508377255625,0.0222994210137081,1255.22774327122,1533.13862775064,1,58.5579590847242,66.2386118228442,0.173556612992725,0.184148645345939,725.252685092742
2.90958904109589,0.0127508377255625,0.0222994210137081,1255.22774327122,1611.74432609184,1,38.6101815005781,46.4597919658852,0.163820091918523,0.176158894626513,636.411973663197
2.90958904109589,0.0127508377255625,0.0222994210137081,1255.22774327122,1694.38022476841,1,23.8170323012465,31.4688374617508,0.155320070197497,0.169834584503861,527.572045954002
